 SIPM      x_sm       y_sm     ch
   1      0.000      0.000      0
   1      2.598     -1.500      4
   1      2.598      1.500      3
   1      0.000      3.000      5
   1     -2.598      1.500      2
   1     -2.598     -1.500      1
   1      0.000     -3.000      6
   1     -2.598      7.500      8
   1      0.000      6.000     10
   1      0.000      9.000      9
   1     -2.598     10.500     14
   1     -5.196      9.000     12
   1     -5.196      6.000     11
   1     -2.598      4.500     13
   1     -5.196     -6.000     16
   1     -2.598     -7.500     19
   1     -2.598     -4.500     21
   1     -5.196     -3.000     18
   1     -7.794     -4.500     17
   1     -7.794     -7.500     22
   1     -5.196     -9.000     20
   1     -7.794      1.500     24
   1     -5.196      0.000     29
   1     -5.196      3.000     26
   1     -7.794      4.500     25
   1    -10.392      3.000     30
   1    -10.392      0.000     28
   1     -7.794     -1.500     27
   2      5.196      6.000      0
   2      7.794      4.500      1
   2      7.794      7.500      6
   2      5.196      9.000      4
   2      2.598      7.500      3
   2      2.598      4.500      5
   2      5.196      3.000      2
   2      7.794     -1.500      8
   2     10.392     -3.000     14
   2     10.392      0.000     12
   2      7.794      1.500     11
   2      5.196      0.000     13
   2      5.196     -3.000     10
   2      7.794     -4.500      9
   2      2.598     -7.500     16
   2      5.196     -9.000     20
   2      5.196     -6.000     19
   2      2.598     -4.500     21
   2      0.000     -6.000     18
   2      0.000     -9.000     17
   2      2.598    -10.500     22
